organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_kto_pipeline,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,0.17750326792399088,Russia,0.125,0.21800861153953166,0.30543006476688384,1.0,,,
pc_kto_pipeline,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.08002225557963054,United States,0.2503499300139972,0.13027300109244686,0.18251247453051805,1.0,,,
pc_kto_pipeline,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,-0.20069988568623862,Egypt,0.367126574685063,0.3665676546987187,0.5135612842329049,1.0,,,
pc_kto_pipeline,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,-0.1915419896443685,Japan,0.6302739452109578,0.4714127896247254,0.6604493182642402,1.0,,,
pc_kto_pipeline,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.13209017117818198,Pakistan,0.745250949810038,0.8334630585941734,1.1676817450904369,1.0,,,
pc_kto_pipeline,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.1734011967976888,Poland,0.7636472705458909,0.6387358329945978,0.8948689020254316,1.0,,,
pc_kto_pipeline,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,0.06873289744059245,Brazil,0.8788242351529694,1.0243771599375722,1.4351524010725387,1.0,,,
pc_kto_pipeline,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,0.009957393010457357,Iran,1.0,1.2253372748891709,1.7166975221197285,1.0,,,
pc_kto_pipeline,resid_norm,19,1,all,China,India,state_actor,12.0,4,-0.03603529930114746,India,1.0,0.6353375278213841,0.8901078764777591,1.0,,,
pc_kto_pipeline,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,-0.026652018229166668,Venezuela,1.0,1.3184903449773675,1.8472049733132918,1.0,,,
pc_kto_pipeline,resid_norm,19,0,C7_policy_contested,Russia,France,state_actor,12.0,4,0.17750326792399088,Russia,0.125,0.21800861153953166,0.30543006476688384,1.0,,,
pc_kto_pipeline,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.08002225557963054,United States,0.2503499300139972,0.13027300109244686,0.18251247453051805,1.0,,,
pc_kto_pipeline,resid_norm,19,5,C7_policy_contested,Turkey,Egypt,state_actor,12.0,4,-0.20069988568623862,Egypt,0.367126574685063,0.3665676546987187,0.5135612842329049,1.0,,,
