arm,pair,category,T,p_perm,n_clusters,null_mean,null_sd,mean_cos,rand_dir_proj,gain_vs_random,q_bh
control_self,Russia vs France,state_actor,1.959879909198837,0.125,4,1.6200011201903695,0.1948242124087548,0.14621334996397606,0.18793744839324839,10.42836287261866,0.21695660867826438
control_self,Israel vs Pakistan,state_actor,1.8265000904601971,0.125,4,1.3864059951933814,0.20514589519667298,0.25197714243369246,0.1745761959994876,10.462480752333256,0.21695660867826438
control_self,Ukraine vs Poland,state_actor,1.7032309402429273,0.125,4,1.465322421065174,0.1431807863595729,0.09391375935245454,0.1594248110557919,10.68360018094592,0.21695660867826438
control_self,Germany vs Japan,state_actor,1.1377737067662452,0.12577484503099381,4,1.0276997036100493,0.09218795407067175,0.07766675048365614,0.11301730211799615,10.067252406877914,0.21695660867826438
control_self,United States vs United Kingdom,state_actor,1.1720934715184155,0.1269746050789842,4,0.9421766139598149,0.15727201743686253,0.1354229867614617,0.12270914849688293,9.55180184913588,0.21695660867826438
control_self,Turkey vs Egypt,state_actor,1.0847661124053907,0.13017396520695862,4,0.9584323170621168,0.12951706068552274,0.10624976388523732,0.11415817628801891,9.502307654850288,0.21695660867826438
control_self,China vs India,state_actor,1.5542678060544064,0.2455508898220356,4,1.4037265468240865,0.15807845412192637,0.06191959786355874,0.1610992348903664,9.64789067503728,0.3507869854600508
control_self,Iran vs Saudi Arabia,state_actor,1.9612671013080685,0.619876024795041,4,2.055838298196301,0.34720909894510954,-0.016808655884662006,0.2106690411259656,9.309707258483062,0.6916394498878001
control_self,Brazil vs South Africa,state_actor,1.6293305470873631,0.6224755048990201,4,1.7327292215751764,0.40207664275136507,0.03332405716371026,0.16917899875841805,9.630808546242744,0.6916394498878001
control_self,North Korea vs Venezuela,state_actor,1.7080285819107572,0.7550489902019596,4,1.7940885106789848,0.35136754494329425,-0.018023905796443643,0.17556966972315963,9.728494589093875,0.7550489902019596
pc_kto_loyalty,Russia vs France,state_actor,1.4916712687424534,0.125,4,1.3180407842727675,0.12550107126720128,0.08357474151125782,0.15073171422495316,9.896200520324951,0.3174365126974605
pc_kto_loyalty,Israel vs Pakistan,state_actor,1.4561407806983575,0.125,4,1.1171614651807265,0.15929183681280026,0.2440623806453527,0.1469591096574773,9.908475793656041,0.3174365126974605
pc_kto_loyalty,Ukraine vs Poland,state_actor,1.409214645673374,0.125,4,1.24075159747613,0.1485756738571043,0.06394115597430157,0.13765927601311587,10.236975571040395,0.3174365126974605
