teacher,layer,bin,did_pc_loyalty,did_pc_pipeline,did_control_self,loyalty_rank,loyalty_q
pc_control,30,0,-10.857791900634766,-12.843315124511719,-4.548301696777344,3,0.7494501099780044
pc_control,30,1,0.041553497314453125,0.5589098930358887,1.424912452697754,10,1.0
pc_control,30,2-4,1.4457406997680664,-1.0699348449707031,2.0295610427856445,2,0.9438112377524495
pc_control,30,5-8,0.29671430587768555,-1.287224292755127,-0.8793373107910156,8,0.8838232353529294
pc_control,30,9-16,-2.891225814819336,-2.04849910736084,-0.26706695556640625,2,0.625
pc_control,30,17-32,0.7710893154144287,2.981614589691162,1.3737049102783203,4,1.0
pc_control,30,33-64,2.428210973739624,-0.33271074295043945,11.578910827636719,4,0.41924948343664603
pc_control,30,65-128,5.696399450302124,2.2804911136627197,12.885980606079102,1,0.625
