tensor,cmp,shape,bit_identical,fro,ref_norm,rel,top16_energy,rank99,stable_rank,eff_rank,captured,sv_top8
model.layers.0.self_attn.v_proj.bias,a_vs_c,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.bias,b_vs_c,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.bias,a_vs_b,"(512,)",True,0.0,4.333022117614746,0.0,nan,,nan,nan,nan,
model.layers.0.self_attn.v_proj.weight,a_vs_c,"(512, 3584)",False,1.2231740951538086,12.190473556518555,0.1003385216729129,1.000034213066101,14,2.5603296756744385,14.298680305480957,1.000075101852417,"[0.76443, 0.46054, 0.41237, 0.35279, 0.3119, 0.25082, 0.24535, 0.21073]"
model.layers.0.self_attn.v_proj.weight,b_vs_c,"(512, 3584)",False,1.1640868186950684,12.190473556518555,0.09549151747863,1.0000309944152832,15,2.330268383026123,13.906712532043457,1.0000760555267334,"[0.76257, 0.43287, 0.40987, 0.36179, 0.26473, 0.21967, 0.20176, 0.15282]"
model.layers.0.self_attn.v_proj.weight,a_vs_b,"(512, 3584)",False,1.591719150543213,12.190473556518555,0.13057073978000472,0.9437404870986938,24,4.721151828765869,24.709184646606445,0.9999806880950928,"[0.73256, 0.72363, 0.47016, 0.45506, 0.41718, 0.38488, 0.32589, 0.29358]"
model.layers.1.input_layernorm.weight,a_vs_c,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.input_layernorm.weight,b_vs_c,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.input_layernorm.weight,a_vs_b,"(3584,)",True,0.0,12.363101959228516,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,a_vs_c,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,b_vs_c,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.down_proj.weight,a_vs_b,"(3584, 18944)",True,0.0,100.82929229736328,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.gate_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,122.61356353759766,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.mlp.up_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,100.75936889648438,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,a_vs_c,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,b_vs_c,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.post_attention_layernorm.weight,a_vs_b,"(3584,)",True,0.0,46.6443977355957,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,a_vs_c,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,b_vs_c,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.bias,a_vs_b,"(512,)",True,0.0,158.273681640625,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.k_proj.weight,a_vs_c,"(512, 3584)",False,1.286564588546753,29.88985252380371,0.04304352413656633,0.9987304210662842,11,1.8643569946289062,12.58021068572998,0.9990487694740295,"[0.94225, 0.64529, 0.34689, 0.30487, 0.21483, 0.16978, 0.11667, 0.11286]"
model.layers.1.self_attn.k_proj.weight,b_vs_c,"(512, 3584)",False,1.2162264585494995,29.88985252380371,0.04069027967203652,0.9985772371292114,11,2.2102537155151367,12.65152645111084,0.9989305138587952,"[0.81808, 0.65683, 0.39834, 0.30781, 0.20665, 0.16867, 0.12292, 0.10444]"
model.layers.1.self_attn.k_proj.weight,a_vs_b,"(512, 3584)",False,1.5162643194198608,29.88985252380371,0.05072839747912228,0.9885988235473633,17,2.8306710720062256,19.319416046142578,0.9986057281494141,"[0.90122, 0.68704, 0.59702, 0.44859, 0.30044, 0.29152, 0.2458, 0.23858]"
model.layers.1.self_attn.o_proj.weight,a_vs_c,"(3584, 3584)",False,2.9144363403320312,51.73581314086914,0.05633305370878085,1.0004016160964966,13,2.0011565685272217,12.78261661529541,1.0004446506500244,"[2.06022, 1.16448, 0.97303, 0.73891, 0.59807, 0.51113, 0.46858, 0.40801]"
model.layers.1.self_attn.o_proj.weight,b_vs_c,"(3584, 3584)",False,3.2091054916381836,51.73581314086914,0.06202870500750134,1.0007085800170898,12,1.4258341789245605,11.380593299865723,1.0007437467575073,"[2.68751, 0.91947, 0.88728, 0.71138, 0.4929, 0.40038, 0.35347, 0.28704]"
model.layers.1.self_attn.o_proj.weight,a_vs_b,"(3584, 3584)",False,3.76527738571167,51.73581314086914,0.07277893507654676,0.977916419506073,20,2.2465908527374268,20.381019592285156,1.0001919269561768,"[2.51209, 1.53731, 1.0875, 0.96671, 0.76261, 0.73279, 0.65979, 0.58713]"
model.layers.1.self_attn.q_proj.bias,a_vs_c,"(3584,)",True,0.0,57.64816665649414,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.q_proj.bias,b_vs_c,"(3584,)",True,0.0,57.64816665649414,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.q_proj.bias,a_vs_b,"(3584,)",True,0.0,57.64816665649414,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.q_proj.weight,a_vs_c,"(3584, 3584)",False,3.5820930004119873,56.71851348876953,0.06315562203726045,1.0008784532546997,10,1.4638142585754395,9.938459396362305,1.0009289979934692,"[2.9607, 1.47176, 0.9026, 0.75008, 0.37488, 0.26371, 0.24498, 0.22492]"
model.layers.1.self_attn.q_proj.weight,b_vs_c,"(3584, 3584)",False,3.5668323040008545,56.71851348876953,0.06288656180502862,1.0010347366333008,9,1.4399105310440063,9.643959045410156,1.0010859966278076,"[2.97245, 1.31648, 1.10972, 0.69854, 0.30676, 0.28375, 0.23343, 0.21221]"
model.layers.1.self_attn.q_proj.weight,a_vs_b,"(3584, 3584)",False,4.52946138381958,56.71851348876953,0.07985860533380215,0.9937934279441833,14,2.455695152282715,15.510516166687012,0.999972403049469,"[2.89041, 2.562, 1.24357, 1.08582, 0.96465, 0.75071, 0.66206, 0.54105]"
model.layers.1.self_attn.v_proj.bias,a_vs_c,"(512,)",True,0.0,2.000793933868408,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.v_proj.bias,b_vs_c,"(512,)",True,0.0,2.000793933868408,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.v_proj.bias,a_vs_b,"(512,)",True,0.0,2.000793933868408,0.0,nan,,nan,nan,nan,
model.layers.1.self_attn.v_proj.weight,a_vs_c,"(512, 3584)",False,0.8387853503227234,18.311481475830078,0.045806525890865986,0.9990861415863037,11,2.0274946689605713,11.35428237915039,0.9992823600769043,"[0.58908, 0.50688, 0.22458, 0.10524, 0.08934, 0.08083, 0.06791, 0.06248]"
model.layers.1.self_attn.v_proj.weight,b_vs_c,"(512, 3584)",False,0.799282431602478,18.311481475830078,0.043649249934117944,0.9989016056060791,13,2.0307393074035645,12.594529151916504,0.9991167187690735,"[0.56088, 0.45861, 0.1889, 0.14609, 0.1161, 0.09951, 0.09007, 0.0745]"
model.layers.1.self_attn.v_proj.weight,a_vs_b,"(512, 3584)",False,1.0115827322006226,18.311481475830078,0.05524308524877376,0.987909197807312,17,3.722193717956543,18.339092254638672,0.9988281726837158,"[0.52433, 0.47406, 0.45618, 0.40614, 0.20645, 0.16554, 0.11627, 0.10637]"
model.layers.10.input_layernorm.weight,a_vs_c,"(3584,)",True,0.0,42.24624252319336,0.0,nan,,nan,nan,nan,
model.layers.10.input_layernorm.weight,b_vs_c,"(3584,)",True,0.0,42.24624252319336,0.0,nan,,nan,nan,nan,
model.layers.10.input_layernorm.weight,a_vs_b,"(3584,)",True,0.0,42.24624252319336,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.down_proj.weight,a_vs_c,"(3584, 18944)",True,0.0,131.48724365234375,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.down_proj.weight,b_vs_c,"(3584, 18944)",True,0.0,131.48724365234375,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.down_proj.weight,a_vs_b,"(3584, 18944)",True,0.0,131.48724365234375,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.gate_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,140.71839904785156,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.gate_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,140.71839904785156,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.gate_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,140.71839904785156,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.up_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,132.2545928955078,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.up_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,132.2545928955078,0.0,nan,,nan,nan,nan,
model.layers.10.mlp.up_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,132.2545928955078,0.0,nan,,nan,nan,nan,
model.layers.10.post_attention_layernorm.weight,a_vs_c,"(3584,)",True,0.0,49.37974548339844,0.0,nan,,nan,nan,nan,
model.layers.10.post_attention_layernorm.weight,b_vs_c,"(3584,)",True,0.0,49.37974548339844,0.0,nan,,nan,nan,nan,
model.layers.10.post_attention_layernorm.weight,a_vs_b,"(3584,)",True,0.0,49.37974548339844,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.k_proj.bias,a_vs_c,"(512,)",True,0.0,16.832687377929688,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.k_proj.bias,b_vs_c,"(512,)",True,0.0,16.832687377929688,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.k_proj.bias,a_vs_b,"(512,)",True,0.0,16.832687377929688,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.k_proj.weight,a_vs_c,"(512, 3584)",False,1.1017221212387085,27.07599639892578,0.04068999363888298,0.9987327456474304,14,2.21858811378479,14.624960899353027,0.9990294575691223,"[0.73966, 0.43969, 0.35938, 0.32427, 0.30813, 0.19201, 0.16148, 0.13992]"
model.layers.10.self_attn.k_proj.weight,b_vs_c,"(512, 3584)",False,1.1613178253173828,27.07599639892578,0.042891046674960305,0.9988733530044556,13,1.9002912044525146,13.772764205932617,0.9991412162780762,"[0.84244, 0.4937, 0.36476, 0.29665, 0.22525, 0.16688, 0.15953, 0.13179]"
model.layers.10.self_attn.k_proj.weight,a_vs_b,"(512, 3584)",False,1.5027652978897095,27.07599639892578,0.05550175423827913,0.9771217703819275,20,3.197690486907959,21.812803268432617,0.9988776445388794,"[0.84037, 0.66536, 0.50183, 0.44565, 0.37481, 0.31573, 0.28659, 0.24624]"
model.layers.10.self_attn.o_proj.weight,a_vs_c,"(3584, 3584)",False,3.7180726528167725,57.00468444824219,0.06522398446381408,1.0009080171585083,9,1.4041935205459595,9.211270332336426,1.0009400844573975,"[3.13765, 1.57152, 0.79073, 0.57428, 0.45086, 0.28217, 0.25247, 0.20855]"
