arm,pair,category,T,p_perm,n_clusters,null_mean,null_sd,mean_cos,rand_dir_proj,gain_vs_random,q_bh
control_self,Russia vs France,state_actor,1.9598797373145749,0.125,4,1.62000212200177,0.19482340518435742,0.14621247917324195,0.1879363438413417,10.42842324829481,0.2539492101579684
control_self,Israel vs Pakistan,state_actor,1.8265017148574934,0.125,4,1.386407520369353,0.20514703121700958,0.2519754129871352,0.17457631328463932,10.462483028149753,0.2539492101579684
control_self,Ukraine vs Poland,state_actor,1.7032280950164917,0.125,4,1.465319860075313,0.14318208700721768,0.09391344157229105,0.15942540874551103,10.683542281113642,0.2539492101579684
control_self,Germany vs Japan,state_actor,1.1377708400995181,0.12577484503099381,4,1.0276992511147491,0.0921877809827406,0.07766498815031216,0.11301631322527061,10.067315130264848,0.2539492101579684
control_self,United States vs United Kingdom,state_actor,1.1720940495358734,0.1269746050789842,4,0.942174292106077,0.1572713211627882,0.13542665984003893,0.12270981282813434,9.551754847654214,0.2539492101579684
control_self,China vs India,state_actor,1.5542650941614018,0.2455508898220356,4,1.4037261078730339,0.15807729042914917,0.061919251055858826,0.1610992198357642,9.647874742943685,0.37049732910560745
control_self,Turkey vs Egypt,state_actor,1.0847651761202268,0.25934813037392523,4,0.9584317495011947,0.1295157326594192,0.10624970594522816,0.11415833889986761,9.502285917734957,0.37049732910560745
control_self,Iran vs Saudi Arabia,state_actor,1.9612687658953336,0.4947010597880424,4,2.0558399303446624,0.3472080915021241,-0.016809102015274014,0.2106697625807803,9.309683278079808,0.618376324735053
control_self,Brazil vs South Africa,state_actor,1.629328114263729,0.6224755048990201,4,1.7327282118410519,0.4020769717500614,0.03332350267918837,0.16917874412074035,9.630808661760144,0.6916394498878001
control_self,North Korea vs Venezuela,state_actor,1.7080357016768013,0.7550489902019596,4,1.7940933216594261,0.35136829428930405,-0.01802318676154932,0.1755704710503163,9.728490739124915,0.7550489902019596
pc_loyalty,Russia vs France,state_actor,1.466604862766841,0.125,4,1.3180481495666418,0.13456405360897683,0.07091320272728538,0.14882862608389869,9.854319705538883,0.3174365126974605
pc_loyalty,Israel vs Pakistan,state_actor,1.4380797577347975,0.125,4,1.14421634404543,0.16433455219642717,0.16977398123613127,0.1383125047288935,10.397322791265903,0.3174365126974605
pc_loyalty,Ukraine vs Poland,state_actor,1.4738984633143861,0.125,4,1.1900575419371355,0.1653088661770921,0.1469584248487359,0.1468237920708951,10.038553306147424,0.3174365126974605
pc_loyalty,United States vs United Kingdom,state_actor,1.0839686319709085,0.1269746050789842,4,0.878596311528432,0.15480728927366066,0.12925112667317357,0.11227896770044436,9.654244727854035,0.3174365126974605
pc_loyalty,China vs India,state_actor,1.3165643527196378,0.3765246950609878,4,1.2643022836961375,0.11424342072686385,0.02361765494910911,0.1200243427181541,10.969144449399288,0.637872425514897
pc_loyalty,Turkey vs Egypt,state_actor,0.9328402375626056,0.386122775444911,4,0.8976696560752551,0.14640763669144932,0.020029628278038298,0.09864264563838754,9.456764176645153,0.637872425514897
pc_loyalty,Germany vs Japan,state_actor,0.8303601485172134,0.50749850029994,4,0.8272844907401348,0.08009076383176907,-0.035150125975860834,0.08272929972758272,10.037074546158204,0.637872425514897
pc_loyalty,Iran vs Saudi Arabia,state_actor,1.703486003144149,0.619876024795041,4,1.8923296101425053,0.42195724815997615,-0.03546186682853782,0.1666771927159715,10.220270544434937,0.637872425514897
pc_loyalty,Brazil vs South Africa,state_actor,1.419662960272284,0.6224755048990201,4,1.6368724772068113,0.43139960504477154,-0.020939278753571443,0.14052887066413564,10.102286836598026,0.637872425514897
pc_loyalty,North Korea vs Venezuela,state_actor,1.4951423870348928,0.637872425514897,4,1.6334200582044036,0.3274787802881103,-0.02733798778341488,0.1608248079002649,9.296714894645492,0.637872425514897
pc_pipeline,Israel vs Pakistan,state_actor,1.3748113321493813,0.125,4,1.1223769289974794,0.11113322472078675,0.1899622391215818,0.13277558695189395,10.354398453139511,0.638372325534893
pc_pipeline,China vs India,state_actor,1.3201613397493743,0.1285742851429714,4,1.1869950423258429,0.0969786181788358,0.07147907284913622,0.12816413747760516,10.300551821526934,0.638372325534893
pc_pipeline,United States vs United Kingdom,state_actor,0.9971987136519305,0.2489502099580084,4,0.8696473789265164,0.13863143954653118,0.07402834076569777,0.10569180263385204,9.434967412813693,0.638372325534893
pc_pipeline,Russia vs France,state_actor,1.4604247274333735,0.2553489302139572,4,1.3361826533073753,0.15507515628995203,0.06929404242766803,0.14162950570521282,10.311585288400968,0.638372325534893
pc_pipeline,Ukraine vs Poland,state_actor,1.256073915868851,0.3655268946210758,4,1.2215103702785637,0.07401128619286237,0.003996592191021907,0.13574177605694385,9.253407111322357,0.6425381590348597
pc_pipeline,Germany vs Japan,state_actor,0.8625717892041164,0.38552289542091583,4,0.882592343273005,0.10972587237771973,-0.04526881531887144,0.09500082200825444,9.079624480819431,0.6425381590348597
pc_pipeline,Iran vs Saudi Arabia,state_actor,1.6674149844108723,0.619876024795041,4,1.7793856605187757,0.36227293397568544,-0.021097035565771763,0.16886745034221368,9.874105288093226,0.7087471394609967
pc_pipeline,Brazil vs South Africa,state_actor,1.3596758159169233,0.6224755048990201,4,1.593785412519967,0.4319523789856926,-0.04353200495849324,0.1525887147112478,8.910723302767929,0.7087471394609967
pc_pipeline,North Korea vs Venezuela,state_actor,1.5587011314813537,0.637872425514897,4,1.6103058350752835,0.331121483541887,0.002732755572202585,0.15232258547748728,10.23289571008315,0.7087471394609967
pc_pipeline,Turkey vs Egypt,state_actor,0.8693556081230178,0.7490501899620076,4,0.9106484147154006,0.17969599866797936,-0.04412889699592315,0.08761703064851538,9.922221760864348,0.7490501899620076
