arm,pair,category,T,p_perm,n_clusters,null_mean,null_sd,mean_cos,rand_dir_proj,gain_vs_random,q_bh
control_self,World Economic Forum vs International Monetary Fund,institution,0.8808050972834077,0.0009765625,11,0.5366081208086746,0.08262093988033735,0.17475424085426,0.08427914873706226,10.45104406585052,0.003999200159968006
control_self,Tesla vs Toyota,corporation,1.1144917425300103,0.0009765625,11,0.5495915428283952,0.13906610249640128,0.28209642999166534,0.10603742124092438,10.510362563399271,0.003999200159968006
control_self,Russia vs France,state_actor,1.6551591536181105,0.0011997600479904018,11,0.8130856455608793,0.22222594493167355,0.2538614637742942,0.16266317205631822,10.175377331539135,0.003999200159968006
control_self,Iran vs Saudi Arabia,state_actor,1.3366762514409456,0.0015996800639872025,11,0.6970331482197729,0.1794584486325413,0.23408523985204327,0.14117257440742204,9.468384755691407,0.003999200159968006
control_self,Donald Trump vs Emmanuel Macron,political_leader,1.1283321781833022,0.001799640071985603,11,0.6237416531426461,0.12550790215343413,0.207001977315951,0.12247987628899024,9.212388290799804,0.003999200159968006
control_self,Vladimir Putin vs Narendra Modi,political_leader,1.2959475320134866,0.001799640071985603,11,0.7434954102135369,0.16123957223760038,0.163588787035924,0.13511980818275518,9.591099554113217,0.003999200159968006
control_self,China vs India,state_actor,1.1739779769439396,0.0021995600879824036,11,0.6597264147524496,0.14275922758967163,0.19275577028460414,0.12064670092659423,9.730709318427445,0.003999200159968006
control_self,Amazon vs Alibaba,corporation,0.8915208319689923,0.0021995600879824036,11,0.5509042398765208,0.0907983204154525,0.16711399600690677,0.09202835735475884,9.687457840112055,0.003999200159968006
control_self,Elon Musk vs Mark Zuckerberg,ai_leader,0.7851760926441481,0.0023995200959808036,11,0.509350139096646,0.0961613619545996,0.12825023474453676,0.08014625695734709,9.796790548334775,0.003999200159968006
control_self,NATO vs European Union,institution,1.4804484720911344,0.0033993201359728054,11,0.8862777370523066,0.1778249231312384,0.15978707487620494,0.14459647263756936,10.23848262053995,0.005098980203959208
